ano,mes,label,valor
1999,1,Jan/1999,22.6
1999,2,Fev/1999,22.86
1999,3,Mar/1999,24.18
1999,4,Abr/1999,24.23
1999,5,Mai/1999,24.44
1999,6,Jun/1999,24.22
1999,7,Jul/1999,24.19
1999,8,Ago/1999,24.75
1999,9,Set/1999,25.08
1999,10,Out/1999,26.05
1999,11,Nov/1999,26.42
1999,12,Dez/1999,27.0
2000,1,Jan/2000,28.55
2000,2,Fev/2000,28.66
2000,3,Mar/2000,28.46
2000,4,Abr/2000,28.4
2000,5,Mai/2000,28.25
2000,6,Jun/2000,28.07
2000,7,Jul/2000,27.8
2000,8,Ago/2000,27.75
2000,9,Set/2000,27.75
2000,10,Out/2000,27.83
2000,11,Nov/2000,27.85
2000,12,Dez/2000,28.16
2001,1,Jan/2001,28.37
2001,2,Fev/2001,28.72
2001,3,Mar/2001,28.74
2001,4,Abr/2001,28.83
2001,5,Mai/2001,29.09
2001,6,Jun/2001,29.07
2001,7,Jul/2001,29.27
2001,8,Ago/2001,29.37
2001,9,Set/2001,29.39
2001,10,Out/2001,29.7
2001,11,Nov/2001,29.9
2001,12,Dez/2001,30.14
2002,1,Jan/2002,30.69
2002,2,Fev/2002,30.93
2002,3,Mar/2002,31.12
2002,4,Abr/2002,31.2
2002,5,Mai/2002,31.31
2002,6,Jun/2002,31.45
2002,7,Jul/2002,31.44
2002,8,Ago/2002,31.57
2002,9,Set/2002,31.64
2002,10,Out/2002,31.74
2002,11,Nov/2002,31.84
2002,12,Dez/2002,31.78
2003,1,Jan/2003,31.82
2003,2,Fev/2003,31.58
2003,3,Mar/2003,31.38
2003,4,Abr/2003,31.1
2003,5,Mai/2003,30.71
2003,6,Jun/2003,30.35
2003,7,Jul/2003,30.26
2003,8,Ago/2003,30.5
2003,9,Set/2003,30.61
2003,10,Out/2003,29.86
2003,11,Nov/2003,29.74
2003,12,Dez/2003,29.45
2004,1,Jan/2004,28.49
2004,2,Fev/2004,28.52
2004,3,Mar/2004,28.49
2004,4,Abr/2004,28.88
2004,5,Mai/2004,28.99
2004,6,Jun/2004,29.03
