ano,mes,label,valor
1999,1,Jan/1999,25.79
1999,2,Fev/1999,25.11
1999,3,Mar/1999,25.94
1999,4,Abr/1999,25.73
1999,5,Mai/1999,25.52
1999,6,Jun/1999,25.07
1999,7,Jul/1999,25.94
1999,8,Ago/1999,25.92
1999,9,Set/1999,26.46
1999,10,Out/1999,27.43
1999,11,Nov/1999,26.84
1999,12,Dez/1999,27.23
2000,1,Jan/2000,28.23
2000,2,Fev/2000,27.44
2000,3,Mar/2000,27.13
2000,4,Abr/2000,25.89
2000,5,Mai/2000,26.19
2000,6,Jun/2000,26.48
2000,7,Jul/2000,25.92
2000,8,Ago/2000,24.74
2000,9,Set/2000,24.42
2000,10,Out/2000,23.42
2000,11,Nov/2000,23.88
2000,12,Dez/2000,26.14
2001,1,Jan/2001,26.0
2001,2,Fev/2001,26.22
2001,3,Mar/2001,25.29
2001,4,Abr/2001,25.67
2001,5,Mai/2001,24.87
2001,6,Jun/2001,24.57
2001,7,Jul/2001,25.6
2001,8,Ago/2001,26.67
2001,9,Set/2001,26.86
2001,10,Out/2001,26.87
2001,11,Nov/2001,26.52
2001,12,Dez/2001,26.49
2002,1,Jan/2002,26.55
2002,2,Fev/2002,26.71
2002,3,Mar/2002,27.15
2002,4,Abr/2002,28.15
2002,5,Mai/2002,29.33
2002,6,Jun/2002,31.08
2002,7,Jul/2002,30.8
2002,8,Ago/2002,31.09
2002,9,Set/2002,30.91
2002,10,Out/2002,31.18
2002,11,Nov/2002,31.67
2002,12,Dez/2002,33.11
2003,1,Jan/2003,34.44
2003,2,Fev/2003,34.05
2003,3,Mar/2003,33.59
2003,4,Abr/2003,34.14
2003,5,Mai/2003,36.47
2003,6,Jun/2003,34.71
2003,7,Jul/2003,34.63
2003,8,Ago/2003,33.2
2003,9,Set/2003,35.08
2003,10,Out/2003,34.87
2003,11,Nov/2003,35.5
2003,12,Dez/2003,36.82
2004,1,Jan/2004,35.36
2004,2,Fev/2004,35.51
2004,3,Mar/2004,34.8
2004,4,Abr/2004,34.14
2004,5,Mai/2004,35.61
2004,6,Jun/2004,35.29
2004,7,Jul/2004,35.05
2004,8,Ago/2004,35.15
2004,9,Set/2004,35.99
2004,10,Out/2004,36.65
2004,11,Nov/2004,37.42
2004,12,Dez/2004,37.81
2005,1,Jan/2005,36.63
2005,2,Fev/2005,36.63
2005,3,Mar/2005,36.06
2005,4,Abr/2005,36.01
2005,5,Mai/2005,35.2
2005,6,Jun/2005,34.52
2005,7,Jul/2005,34.72
2005,8,Ago/2005,34.88
2005,9,Set/2005,34.38
2005,10,Out/2005,34.53
2005,11,Nov/2005,33.99
2005,12,Dez/2005,34.19
2006,1,Jan/2006,34.04
2006,2,Fev/2006,33.33
2006,3,Mar/2006,33.47
2006,4,Abr/2006,34.19
2006,5,Mai/2006,34.64
2006,6,Jun/2006,33.98
2006,7,Jul/2006,34.11
2006,8,Ago/2006,34.31
2006,9,Set/2006,33.98
2006,10,Out/2006,34.03
2006,11,Nov/2006,34.68
2006,12,Dez/2006,34.7
2007,1,Jan/2007,34.39
2007,2,Fev/2007,34.52
2007,3,Mar/2007,34.69
2007,4,Abr/2007,35.07
2007,5,Mai/2007,34.82
2007,6,Jun/2007,34.72
2007,7,Jul/2007,34.93
2007,8,Ago/2007,35.01
2007,9,Set/2007,35.35
2007,10,Out/2007,35.59
2007,11,Nov/2007,36.04
2007,12,Dez/2007,35.93
2008,1,Jan/2008,36.17
2008,2,Fev/2008,36.41
2008,3,Mar/2008,37.07
2008,4,Abr/2008,36.89
2008,5,Mai/2008,36.78
2008,6,Jun/2008,36.91
2008,7,Jul/2008,36.53
2008,8,Ago/2008,36.23
2008,9,Set/2008,36.37
2008,10,Out/2008,35.04
2008,11,Nov/2008,35.72
2008,12,Dez/2008,41.44
2009,1,Jan/2009,45.66
2009,2,Fev/2009,45.35
2009,3,Mar/2009,44.94
2009,4,Abr/2009,43.84
2009,5,Mai/2009,43.38
2009,6,Jun/2009,43.82
2009,7,Jul/2009,44.69
2009,8,Ago/2009,45.3
2009,9,Set/2009,44.01
2009,10,Out/2009,43.07
2009,11,Nov/2009,44.36
2009,12,Dez/2009,43.39
2010,1,Jan/2010,42.46
2010,2,Fev/2010,40.8
2010,3,Mar/2010,39.7
2010,4,Abr/2010,38.7
2010,5,Mai/2010,37.63
2010,6,Jun/2010,38.19
2010,7,Jul/2010,39.47
2010,8,Ago/2010,39.03
2010,9,Set/2010,41.35
2010,10,Out/2010,42.73
2010,11,Nov/2010,41.57
2010,12,Dez/2010,40.33
2011,1,Jan/2011,40.65
2011,2,Fev/2011,40.01
2011,3,Mar/2011,40.02
2011,4,Abr/2011,40.81
2011,5,Mai/2011,40.06
2011,6,Jun/2011,40.39
2011,7,Jul/2011,39.52
2011,8,Ago/2011,41.84
2011,9,Set/2011,43.4
2011,10,Out/2011,42.38
2011,11,Nov/2011,41.85
2011,12,Dez/2011,41.67
2012,1,Jan/2012,39.97
2012,2,Fev/2012,38.91
2012,3,Mar/2012,39.17
2012,4,Abr/2012,38.92
2012,5,Mai/2012,40.46
